Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
就是不听话 ,iKz feat.Hanser ,2:30 ,175,,3,6,8,Cute is Everything Vol. 4,5,6,jiushi_bu_tinghua,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/89/%E5%B0%B1%E6%98%AF%E4%B8%8D%E5%90%AC%E8%AF%9D.png/revision/latest?cb=20191130052436
Holy Shit Grass Snake ,麦当叔劳劳 ,2:09 ,128,,2,6,8,Cute is Everything Vol. 4,6,6,holy_shit_grass_snake,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/89/Holy_Shit_Grass_Snake.png/revision/latest?cb=20191130052454
INFINITY ,Lunatic Sounds ,1:50 ,190,,5,8,10,Give Up TREATMENT Vol. 7,1,6,infinity,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/bd/INFINITY.png/revision/latest?cb=20191229042348
Punai Punai Senso ,rissyuu feat.Choko ,2:07 ,271,,2,7,11,Give Up TREATMENT Vol. 7,2,6,punai_punai_senso,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/ce/PunaiPunaiSenso.png/revision/latest?cb=20191229042424
Maxi ,Nizikawa ,1:54 ,180,,5,8,10,Give Up TREATMENT Vol. 7,3,6,maxi,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/25/Maxi.png/revision/latest?cb=20191229042438
YInMn Blue ,siqlo ,2:05 ,152,,6,8,10,Give Up TREATMENT Vol. 7,4,6,yinmn_blue,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/08/YInMn_Blue.png/revision/latest?cb=20191229042617
Plumage ,brz1128 ,2:21 ,190,,4,7,10,Give Up TREATMENT Vol. 7,5,6,plumage,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/18/Plumage.png/revision/latest?cb=20191229042449
Dr.Techro ,Meisenp. ,1:59 ,210,,7,9,11,Give Up TREATMENT Vol. 7,6,6,dr_techro,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/15/Dr.Techro_New.png/revision/latest?cb=20200227003860
Moonlight Banquet ,a_hisa ,2:43 ,130,,2,5,8,Happy Otaku Pack Vol. 8,1,6,moonlight_banquet,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/10/Moonlight.png/revision/latest?cb=20200121110923
Flashdance ,litmus* ,2:00 ,130,,3,6,9,Happy Otaku Pack Vol. 8,2,6,flashdance,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/aa/Flashdance.PNG/revision/latest?cb=20200121110841
